name,releasedate,language,price,authors,contributors,narrators,audible_length_m,audible_rating,ratings_count
Leonora Bolt: Secret Inventor,2022-01-20,english,410.0,Lucy Brandt,,Nicole Davis,175,0.0,0
The Snail and the Whale,2008-10-07,english,323.0,Julia Donaldson,,Imelda Staunton,23,5.0,5
Tigers for Dinner,2017-01-01,english,284.0,Ruskin Bond,,Adnan Kapadia,39,4.5,20
The Hidden Kingdom,2016-07-01,english,575.0,Tui T. Sutherland,,Shannon Mc Manus,454,5.0,9
Eagle Strike,2021-05-20,english,569.0,Anthony Horowitz,,Oliver Chris,417,5.0,2
Captain Marvel - Ultron blir viral,2022-01-11,swedish,32.0,"Marvel, Camilla Dunér",,Malin Lybeck,11,0.0,0
Toy Story 4,2022-01-07,swedish,166.0,"Disney, Oskar Blomberg",,Frederick Halbout,147,0.0,0
Three Lost Seeds,2022-02-08,english,234.0,Stephie Morton,NicoleWong-illustrator,Steven Jay Cohen,13,0.0,0
Mystery on the Mayhem Express,2021-06-22,english,305.0,Franklin W. Dixon,,Tim Gregory,238,5.0,1
Tunnel of Secrets,2015-11-02,english,305.0,Franklin W. Dixon,,Tim Gregory,183,5.0,3
Barbie - La puerta secreta,2021-11-29,spanish,38.0,"Mattel, Nicolás Olucha Sánchez",,Beatriz Olcina,11,0.0,0
A scuola con Pongo e Tim: Henry Every,2022-02-09,italian,75.0,Giulia Segreti,,"Giulia Segreti, Marco Cognigni",11,0.0,0
Black Panther: Spellbound,2022-02-01,english,469.0,Ronald L. Smith,,Dion Graham,338,0.0,0
"The 39 Clues: Unstoppable, Book 3",2014-05-01,english,410.0,Natalie Standiford,,David Pittu,289,4.5,2
Hello Kitty - El Club de la Amistad,2021-11-10,spanish,76.0,"Sanrio, Neus Casanova Vico",,Eva Andrés,42,0.0,0
Treasure Island,2019-09-06,english,32.0,Robert Louis Stevenson,,Sam Taylor,404,4.0,4
The Human Body,2020-09-17,english,410.0,Ladybird,,Ben Bailey Smith,43,0.0,0
Minecraft: The Dragon,2021-07-06,english,1005.0,Nicky Drayden,,Nicole Lewis,411,5.0,1
The Christmasaurus and the Naughty List,2021-10-14,english,615.0,Tom Fletcher,ShaneDevries-illustrator,"Paul Shelley, Tom Fletcher",375,0.0,0
Das Exil,2021-10-25,german,468.0,Shannon Messenger,DorisAttwood-Übersetzer,David Nathan,945,0.0,0
El Cerdito de Navidad [The Christmas Pig],2021-10-12,spanish,799.0,J. K. Rowling,,Cristina Tenorio,438,0.0,0
Big Change for Stuart,2021-09-01,english,664.0,Lissa Evans,,Lissa Evans,312,0.0,0
The Imagination Box: Beyond Infinity,2021-09-28,english,569.0,Martyn Ford,,Joshua Mc Guire,301,0.0,0
Camp Daze,2021-10-12,english,585.0,R. L. Stine,,"James Murray, Kirby Heyborne, Inésdel Castillo,",180,0.0,0
Vaiana,2021-10-28,swedish,166.0,"Disney, Åsa Malm",,Lisa Ahnlund,175,0.0,0
Myth of the Rain Forest Monster,2021-09-01,english,234.0,Gertrude Chandler Warner,,Aimee Lilly,106,0.0,0
Little Badman and the Time-travelling Teacher of Doom,2020-08-21,english,615.0,"Humza Arshad, Henry White",,Humza Arshad,335,0.0,0
The Great Dream Robbery,2021-09-16,english,410.0,"Greg James, Chris Smith",,"Greg James, Chris Smith",348,0.0,0
Barbie - Superprincesa,2021-10-15,spanish,38.0,"Mattel, Nicolás Olucha Sánchez",,Beatriz Olcina,26,0.0,0
Barbie - El campamento de princesas,2022-03-07,spanish,38.0,Mattel,,Vanessa Pérez Jurado,33,0.0,0
Barbie - Dreamtopia,2022-03-07,spanish,38.0,Mattel,,Vanessa Pérez Jurado,21,0.0,0
