name,releasedate,language,price,authors,contributors,narrators,audible_length_m,audible_rating,ratings_count
Mostly Harmless,2012-12-14,english,323.0,Douglas Adams,,Martin Freeman,392,4.5,41
Ascension,2021-06-15,english,1675.0,Turtle Me,,Travis Baldree,1458,5.0,7
Assassin's Creed: Gold,2020-02-27,english,759.0,Anthony Del Col,,"Riz Ahmed, John Chancer, Ray Fearon,",280,4.5,70
The Martian,2020-01-01,english,1171.0,Andy Weir,,Wil Wheaton,659,5.0,274
Warbreaker,2017-12-08,english,987.0,Brandon Sanderson,,Alyssa Bresnahan,1496,4.5,95
Ready Player One,2012-04-05,english,957.0,Ernest Cline,,Wil Wheaton,940,4.5,170
"20,000 Leagues Under the Sea",2017-10-24,english,836.0,Jules Verne,,David Linski,673,4.5,7
The Rise of Endymion,2009-01-20,english,836.0,Dan Simmons,,Victor Bevine,1787,4.5,10
Relentless,2021-02-16,english,1171.0,Mark Greaney,,Jay Snyder,939,4.5,6
Sleeping Giants,2016-04-21,english,820.0,Sylvain Neuvel,,"Andy Secombe, Christopher Ragland, Charlie Anson,",507,4.5,55
Columbus Day,2016-12-13,english,1289.0,Craig Alanson,,R. C. Bray,983,4.5,21
Snow Crash,2000-12-31,english,1172.0,Neal Stephenson,,Jonathan Davis,1023,4.5,23
Armageddon,2019-11-05,english,1507.0,Craig Alanson,,R. C. Bray,1071,5.0,8
Kenobi: Star Wars Legends,2013-08-27,english,1131.0,John Jackson Miller,,Jonathan Davis,816,5.0,7
The Orbs Series Box Set: Books 1-4,2021-06-08,english,1758.0,"Nicholas Sansbury Smith, Anthony J. Melchiorri",,Bronson Pinchot,2197,3.5,11
A Torch Against the Night,2016-09-08,english,552.0,Sabaa Tahir,,"Aysha Kala, Jack Farrar, Samantha Sutherland",856,4.5,19
False Impression,2014-06-19,english,323.0,Jeffrey Archer,,Lorelei King,629,4.5,29
Elantris,2012-07-01,english,990.0,Brandon Sanderson,,Jack Garrett,1722,4.5,41
The Quest,2019-01-31,english,987.0,Wilbur Smith,,Mark Meadows,1573,5.0,2
Persepolis Rising,2017-12-07,english,990.0,James S. A. Corey,,Jefferson Mays,1234,5.0,11
A Wild Sheep Chase,2020-10-29,english,888.0,Haruki Murakami,,Dexter Galang,559,4.5,12
Executive Orders,2014-03-05,english,1054.0,Tom Clancy,,Michael Prichard,3085,4.5,13
Battlefield Earth,2016-06-06,english,1407.0,L. Ron Hubbard,,"Josh Clark, Scott Menville, Fred Tatascorie,",2847,5.0,1
Waking Gods,2017-04-06,english,820.0,Sylvain Neuvel,,"Andy Secombe, Adna Sablyich, Laurel Lefkow,",548,4.5,38
Path of Destruction,2012-10-30,english,1206.0,Drew Karpyshyn,,Jonathan Davis,736,5.0,14
Gideon the Ninth,2019-09-10,english,1172.0,Tamsyn Muir,,Moira Quirk,1010,4.5,9
The Seventh Scroll,2019-01-31,english,987.0,Wilbur Smith,,Mark Meadows,1487,5.0,2
Heir of Novron,2012-08-08,english,1407.0,Michael J. Sullivan,,Tim Gerard Reynolds,1908,5.0,39
The Light of All That Falls,2019-12-10,english,1507.0,James Islington,,Michael Kramer,1839,5.0,14
Rogues,2014-06-17,english,1382.0,unknown,"NeilGaiman-contributor, GeorgeR.R.Martin-editor, GillianFlynn-contributor","Janis Ian, Rupert Degas, Iain Glen,",1875,4.5,4
Scholar of Magic,2021-02-16,english,1507.0,Michael G. Manning,,Tim Gerard Reynolds,1286,5.0,10
House of Earth and Blood,2020-03-03,english,873.0,Sarah J. Maas,,Elizabeth Evans,1670,4.5,94
Chandrakanta (Hindi Edition),2021-07-19,hindi,0.0,Devki Nandan Khatri,,Manish Singhal,761,4.5,15
Devil's Cub,2021-02-04,english,888.0,Georgette Heyer,,Michael Maloney,546,5.0,6
An Ember in the Ashes,2015-06-04,english,552.0,Sabaa Tahir,,"Aysha Kala, Jack Farrar",836,4.5,19
Clear and Present Danger,2014-01-31,english,1054.0,Tom Clancy,,Michael Prichard,1807,4.5,7
Super Powereds: Year 3,2016-08-23,english,1641.0,Drew Hayes,,Kyle Mc Carley,2460,5.0,4
Doctor Strange: The Fate of Dreams,2019-10-22,english,703.0,"Devin Grayson, Marvel",,Richard Rohan,416,5.0,5
Divergence,2020-11-10,english,1340.0,Turtle Me,,Travis Baldree,908,5.0,10
The City of Brass,2018-03-08,english,491.0,S. A. Chakraborty,,Soneela Nankani,1176,4.5,8
A Matter of Honour,2014-10-23,english,323.0,Jeffrey Archer,,John Lee,608,4.5,21
The Feast of Roses,2007-03-29,english,937.0,Indu Sundaresan,,Sneha Mathan,1063,4.5,30
Thrawn (Star Wars),2017-04-11,english,1256.0,Timothy Zahn,,Marc Thompson,1016,5.0,18
The Crown Tower,2013-08-06,english,938.0,Michael J. Sullivan,,Tim Gerard Reynolds,769,5.0,20
Black Ops,2017-09-26,english,1340.0,Craig Alanson,,R. C. Bray,1004,4.5,9
Where Eagles Dare,2017-07-06,english,491.0,Alistair Mac Lean,,Jonathan Oliver,551,4.5,7
Iron Prince,2021-03-23,english,2010.0,"Bryce O' Connor, Luke Chmilenko",,Luke Daniels,2035,5.0,3
The Dispatcher,2016-10-04,english,266.0,John Scalzi,,Zachary Quinto,138,4.0,19
Super Powereds: Year 2,2016-07-11,english,1524.0,Drew Hayes,,Kyle Mc Carley,1924,5.0,2
Call of the Raven,2020-09-03,english,721.0,Wilbur Smith,,Elliot Chapman,806,5.0,2
"Solo Leveling, Vol. 1 (Novel)",2021-07-13,english,500.0,Chugong,,Ki Hong Lee,492,4.5,6
Mount Fitz Roy,2020-12-03,english,1673.0,Scott Sigler,,Ray Porter,1766,0.0,0
Zero Hour,2018-02-06,english,1507.0,Craig Alanson,,R. C. Bray,1040,5.0,6
The Moneychangers,2020-04-07,english,703.0,Arthur Hailey,,David Stifel,1125,4.5,9
World of Warcraft: Sylvanas,2022-03-29,english,645.0,Christie Golden,,Patty Mattson,938,0.0,0
SpecOps,2017-03-07,english,1340.0,Craig Alanson,,R. C. Bray,950,4.5,8
An Unwitting Prince,2022-03-29,english,1172.0,Sean Oswald,,Peter Berkrot,1033,0.0,0
Assassinorum: Kingmaker,2022-04-02,english,1138.0,Robert Rath,,Gareth Armstrong,672,0.0,0
Alpha Ascendant,2022-03-15,english,1507.0,Arthur Stone,,Eric Jason Martin,979,0.0,0
The Pillars of Creation,2008-05-13,english,1005.0,Terry Goodkind,,Jim Bond,1339,5.0,1
Biomancer,2022-03-08,english,1675.0,Shemer Kuznits,,Luke Daniels,1042,0.0,0
Ghazghkull Thraka: Prophet Waaagh!,2022-03-12,english,759.0,Nate Crowley,,"Kelly Hotten, Paul Putner, Jon Rand",450,5.0,1
"Solo Leveling, Vol. 3 (Novel)",2022-02-22,english,500.0,Chugong,,Ki Hong Lee,487,0.0,0
An Echo of Things to Come,2017-08-22,english,1340.0,James Islington,,Michael Kramer,1588,5.0,17
Never Go Back,2013-08-29,english,957.0,Lee Child,,Jeff Harding,705,4.5,10
Human Insanity,2022-03-22,english,1340.0,Kamikaze Potato,,Neil Hellegers,1026,0.0,0
Condemning the Heavens: Publisher's Pack 5,2022-03-29,english,1675.0,Tinalynge,,Scott Merriman,1192,0.0,0
Patriot Games,2014-01-27,english,1054.0,Tom Clancy,,Michael Prichard,1206,4.5,16
Transcendence,2020-08-11,english,1340.0,Turtle Me,,Travis Baldree,911,5.0,8
Robert E. Howard's Conan the Cimmerian Barbarian,2017-06-27,english,1003.0,"Robert E. Howard, Finn J. D. John",,Finn J. D. John,2106,0.0,0
Star Wars: Heir to the Empire,2011-09-06,english,1131.0,Timothy Zahn,,Marc Thompson,789,4.5,19
The Avenger,2022-04-05,english,234.0,David Robbins,,Rusty Nelson,446,0.0,0
Der Tempel,2022-04-05,german,233.0,Matthew Reilly,AlfonsWinkelmann-Übersetzer,Jürgen Holdorf,1035,0.0,0
El quinto cristal,2022-04-05,spanish,307.0,Jordi Sierrai Fabra,,Ana Serrano,592,0.0,0
A Matter of Death and Life,2022-04-05,english,703.0,Simon R. Green,,Gideon Emery,473,0.0,0
Captain Grey’s Gambit,2022-04-05,english,586.0,J. H. Gelernter,,John Lee,418,0.0,0
Diplomatic Resurgence,2022-04-05,english,586.0,"S. E. Weir, Michael Anderle",,Lauren Ezzo,551,0.0,0
The Realm Between,2022-04-05,english,703.0,Phoenix Grey,,Neil Hellegers,615,0.0,0
Addressed to Greta,2022-04-01,english,812.0,Fiona Sussman,,Niamh Blackman,817,0.0,0
Mess with the Bull,2022-04-05,english,1340.0,Casey Moores,,James Anderson Foster,775,0.0,0
The Bladed Faith,2022-04-05,english,500.0,David Dalglish,,"Devante Johnson, Imani Parks",1127,0.0,0
Ryan's Gambit,2022-04-05,english,1172.0,Craig Robertson,,Scott Aiello,462,0.0,0
Tyrants,2022-04-05,english,1340.0,Matt Rogers,,Kevin Kenerly,555,0.0,0
Daughter of the Cyber Dragons,2022-04-05,english,1172.0,"C. T. Phipps, Michael Suttkus",,Catherine Ho,648,0.0,0
Nature of War,2022-04-05,english,1172.0,"J. N. Chaney, Molly Lerma",,Khristine Hvam,434,0.0,0
Spoils of War,2022-04-05,english,1507.0,Luke Mitchell,,Gary Tiedemann,963,0.0,0
La colina de Watership [Watership Down],2022-04-05,spanish,913.0,Richard Adams,,Raúl Arrieta,1270,0.0,0
La colina de Watership (Castilian) [Watership Down],2022-04-05,spanish,761.0,Richard Adams,,Borja Abad,1074,0.0,0
Titan,2022-02-11,english,569.0,"Steve Jackson, Ian Livingstone, Marc Gascoigne",,Neil Gardner,564,0.0,0
Braking Day,2022-04-05,english,759.0,Adam Oyebanji,,Ariyan Kassam,908,0.0,0
He Who Fights with Monsters 5,2022-04-05,english,2010.0,"Shirtaloon, Travis Deverell",,Heath Miller,1205,0.0,0
Sword of the White Horse,2022-04-05,english,820.0,Elsa Sjunneson,,Moira Quirk,520,0.0,0
Stars & Stripes,2022-04-05,english,820.0,"Sean Grigsby, Stewart Hotson",,Moira Quirk,574,0.0,0
Wedge's Gamble,2022-04-05,english,1256.0,Michael A. Stackpole,,Marc Thompson,781,0.0,0
Sisters of the Forsaken Stars,2022-04-05,english,703.0,Lina Rather,,Adenrele Ojo,319,0.0,0
Destiny of the Dead,2022-03-22,english,181.0,Kel Kade,,Nick Podehl,834,0.0,0
Neuromancer,2021-07-13,english,645.0,William Gibson,,Jason Flemyng,512,4.5,3
Brushfire,2020-12-15,english,1675.0,Craig Alanson,,R. C. Bray,1158,5.0,9
Golden Son,2015-04-02,english,990.0,Pierce Brown,,Tim Gerard Reynolds,1142,5.0,1
Delay,2021-12-14,english,1340.0,Alex Kozlowski,,Grant Cartwright,806,0.0,0
The Wandering Inn,2019-09-10,english,1507.0,pirateaba,,Andrea Parsneau,2590,4.0,3
Hedgewitch,2022-02-01,english,2010.0,Terry Mancour,,John Lee,1248,4.5,2
Seven Rules of Time Travel,2020-12-15,english,1172.0,Roy Huff,,Christopher Lane,445,5.0,1
Sanguine Academy: Volume 1,2022-03-29,english,1507.0,Lowe Keye,,"Marissa Parness, Alex Perone",639,0.0,0
The Power of Six,2011-10-24,english,752.0,Pittacus Lore,,"Neil Kaplan, Marisol Ramirez",670,5.0,1
Full Force and Effect,2014-12-02,english,1256.0,Mark Greaney,,Scott Brick,1155,5.0,6
Command Authority,2013-12-03,english,1054.0,Tom Clancy,,Lou Diamond Phillips,1073,5.0,5
Dirk Gently's Holistic Detective Agency,2021-10-14,english,323.0,Douglas Adams,,Stephen Mangan,478,4.5,2
Red Storm Rising,2014-01-30,english,1054.0,Tom Clancy,,Michael Prichard,1860,4.5,5
A Psalm for the Wild-Built,2021-07-13,english,74.0,Becky Chambers,,Emmett Grosland,248,4.0,4
Dune: The Butlerian Jihad,2021-11-25,english,1138.0,"Kevin J Anderson, Brian Herbert",,Scott Brick,1438,4.0,1
Theft of Swords [Dramatized Adaptation],2022-01-08,english,1102.0,Michael J. Sullivan,,"Amanda Forstrom, Andrew Quilpa, Andy Brownstein,",1019,0.0,0
The Four-Part Key,2021-12-14,english,2010.0,Michael Wisehart,,Tim Gerard Reynolds,2136,5.0,1
Lux,2021-07-22,english,1171.0,"Brandon Sanderson, Steven Michael Bohls",,Mac Leod Andrews,834,3.0,2
The Long Dark Tea-Time of the Soul,2021-10-14,english,323.0,Douglas Adams,,Stephen Mangan,466,4.0,1
Disquiet,2022-03-15,english,1507.0,Alex Kozlowski,,Grant Cartwright,895,0.0,0
Orphan X,2016-09-27,english,793.0,Gregg Hurwitz,,Scott Brick,676,4.0,7
He Who Fights with Monsters 4,2021-12-28,english,2010.0,"Shirtaloon, Travis Deverell",,Heath Miller,1340,5.0,4
Red Metal,2019-07-16,english,1170.0,"Mark Greaney, Lieutenant Colonel Hunter Ripley Rawlings I V- U S M C",,Marc Vietor,1281,4.5,3
The Division: Hearts on Fire,2021-07-15,english,759.0,"Tom Clancy, Kc Wayland",,"Katee Sackhoff, Shannon Woodward, Intae Kim,",330,4.0,7
The Second Storm: A Xianxia Fantasy Epic,2021-11-29,english,668.0,Tao Wong,,Travis Baldree,576,5.0,1
Viridian Gate Online: Crimson Alliance,2017-08-14,english,836.0,James Hunter,,Armen Taylor,629,5.0,1
Elric of Melniboné,2022-02-15,english,1407.0,"Michael Moorcock, Neil Gaiman",,Samuel Roukin,1452,0.0,0
The Houndsman 2,2022-03-29,english,1340.0,J Pal,,Jack Voraces,777,0.0,0
Only Human,2018-05-03,english,683.0,Sylvain Neuvel,,"Sylvain Neuvel, William Hope, Charlie Anson,",521,4.5,27
The New Kingdom,2021-09-02,english,1405.0,Wilbur Smith,MarkChadbourn-contributor,Amir El- Masry,800,5.0,1
Clive Cussler's the Devil's Sea,2021-11-11,english,888.0,Dirk Cussler,,Scott Brick,623,4.0,1
Ciphercraft: A LitRPG Omnibus,2021-12-14,english,2010.0,Tim Kaiver,,Ryan Kennard Burke,2404,0.0,0
Alien: Covenant Origins,2017-09-26,english,820.0,Alan Dean Foster,,Tom Taylorson,511,4.0,1
The Naked Face & The Stars Shine Down,2016-08-09,english,585.0,Sidney Sheldon,,"Roger Moore, Roddy Mc Dowall",319,4.0,3
Doctor Who: The Time Travel Collection,2021-11-04,english,1093.0,"Glyn Jones, Terrance Dicks, Douglas Adams",,"Maureen O' Brien, Richard Franklin, Lalla Ward,",1450,0.0,0
Of Blood and Fire,2021-10-05,english,1340.0,Ryan Cahill,,Derek Perkins,983,4.0,1
Big Two-Hearted River,2022-01-08,english,239.0,Ernest Hemingway,,Mike Vendetti,47,0.0,0
Maktub,2021-11-16,portuguese,691.0,Paulo Coelho,,Raulde Orofino,186,0.0,0
Defiance of the Fall,2021-06-08,english,1003.0,"The First Defier, J F Brink",,Pavi Proczko,1409,5.0,2
Fight Club,2008-09-03,english,372.0,Chuck Palahniuk,,Jim Colby,334,4.5,17
He Who Fights with Monsters 3,2021-09-07,english,2010.0,"Shirtaloon, Travis Deverell",,Heath Miller,1479,5.0,7
Aladdin (Telugu Edition),2022-03-31,telugu,90.0,A. N. Jagannatha Sharma,,Vinumaree,171,0.0,0
Rogue Squadron: Star Wars Legends (Rogue Squadron),2021-09-07,english,1256.0,Michael A. Stackpole,,Marc Thompson,724,0.0,0
Dune: Paul of Dune,2021-11-18,english,949.0,"Kevin J Anderson, Brian Herbert",,Scott Brick,1115,5.0,1
Sweep of Stars,2022-03-29,english,221.0,Maurice Broaddus,,Emana Rachelle,1057,0.0,0
Star Wars: The Fallen Star,2022-01-04,english,888.0,Claudia Gray,,Marc Thompson,811,4.5,3
Night Watch,2007-07-06,english,820.0,Terry Pratchett,,Stephen Briggs,640,5.0,9
Mark of the Founder: A litRPG Saga,2021-03-16,english,2010.0,James T. Callum,,Eric Michael Summerer,1773,5.0,3
Arkham Horror - Litanei der Träume,2021-12-02,german,568.0,Ari Marmell,,Martin Valdeig,717,0.0,0
River God,2019-01-31,english,1138.0,Wilbur Smith,,Mark Meadows,1716,4.5,5
Twenty Thousand Leagues Under the Sea,2017-01-13,english,117.0,Jules Verne,,Alan Munro,1077,4.5,4
The Extinction Survival Series Box Set,2022-01-24,english,1804.0,Walt Browning,,Bronson Pinchot,2280,5.0,1
Noor Jahan Ka Kaushal [Noor Jahan's Skill],2022-02-21,hindi,0.0,Chatursen Shastri,,Sameer Goswami,19,0.0,0
Rise of Empire [Dramatized Adaptation],2022-01-03,english,1172.0,Michael J. Sullivan,,"Andy Brownstein, Bradley Smith, Chris Genebach,",1225,0.0,0
The Last Light,2021-11-23,english,2010.0,pirateaba,,Andrea Parsneau,3137,5.0,2
The 6th Extinction,2021-08-31,english,1055.0,James Rollins,,Christian Baskous,899,5.0,1
Duke of Pleasure,2016-11-29,english,500.0,Elizabeth Hoyt,,Ashford Mc Nab,635,0.0,0
"Oh, Great! I Was Reincarnated as a Farmer",2021-09-14,english,1675.0,Benjamin Kerei,,Travis Baldree,1070,5.0,1
Activation,2021-10-05,english,1507.0,D. I. Freed,,Grant Cartwright,1271,0.0,0
Convergence,2021-11-16,english,1675.0,"Jason Anspach, Nick Cole",,R. C. Bray,697,0.0,0
Forge of Destiny: Volume 3,2021-11-02,english,1675.0,Yrsillar,,Natalie Naudus,1056,0.0,0
The Road to Dune,2021-12-02,english,873.0,"Kevin J Anderson, Frank Herbert, Brian Herbert",,Scott Brick,878,0.0,0
Sidney Sheldon's Reckless,2015-11-19,english,491.0,"Sidney Sheldon, Tilly Bagshawe",,Michael Kramer,664,4.5,7
Dark Age,2019-07-31,english,1407.0,Pierce Brown,,"Tim Gerard Reynolds, John Curless, Moira Quirk,",2038,5.0,7
"Marvel's Guardians of the Galaxy: No Guts, No Glory",2022-01-25,english,1172.0,M. England,,Austin Rising,458,0.0,0
Age of War [Dramatized Adaptation],2022-01-03,english,985.0,Michael J. Sullivan,,"Amanda Forstrom, Bradley Smith, Carolyn Kashner,",737,0.0,0
Dune: The Machine Crusade,2021-11-25,english,1138.0,"Kevin J Anderson, Brian Herbert",,Scott Brick,1644,0.0,0
Alone on Altair,2022-01-25,english,1172.0,Benjamin Wallace,,Phil Thron,446,0.0,0
The First Wall,2020-02-29,english,1138.0,Gav Thorpe,,Jonathan Keeble,764,4.0,4
The Path Through the Heavens,2021-11-30,english,1340.0,Yuri Ajin,,Kirby Heyborne,1144,0.0,0
Age of Swords [Dramatized Adaptation],2022-01-03,english,1031.0,Michael J. Sullivan,,"Amanda Forstrom, Barbara Pinolini, Bradley Smith,",842,0.0,0
"Empire Builder 2: Breed, Populate, Conquer",2021-12-14,english,1172.0,Dante King,,Tess Irondale,546,0.0,0
The Untold Story,2021-12-09,english,323.0,Genevieve Cogman,,Kristin Atherton,851,0.0,0
Tiamat's Wrath,2019-03-26,english,1289.0,James S. A. Corey,,Jefferson Mays,1148,5.0,24
Reincarnated as the Last of My Kind: Volume 2,2021-11-16,english,1005.0,Kiri Komori,,"Cassandra Morris, Graham Halstead",461,4.5,2
Path to the Unknown,2021-11-16,english,703.0,Kirill Klevanski,ValeriaKornosenko-introduction,Kevin T. Collins,934,0.0,0
Defiance of the Fall 3,2021-11-30,english,1003.0,"The First Defier, J F Brink",,Pavi Proczko,1474,4.0,1
The Finish Line,2021-08-03,english,1340.0,Kate Stewart,,"Maxine Mitchell, Joe Arden",879,4.0,1
Sandstorm,2021-08-31,english,1172.0,James Rollins,,John Meagher,981,0.0,0
Defiance of the Fall 2,2021-08-10,english,1003.0,"The First Defier, J F Brink",,Pavi Proczko,1470,4.0,1
Invisible Sun,2021-09-30,english,323.0,Charles Stross,,Kate Reading,1109,5.0,2
Hunter's Moon,2021-08-17,english,586.0,"William W. Johnstone, J. A. Johnstone",,Al Kessel,634,0.0,0
Baldwin’s Legacy Boxed Set,2021-07-20,english,1172.0,Nathan Hystad,,James Patrick Cronin,3192,0.0,0
Miguel Strogoff,2022-02-10,spanish,345.0,Jules Verne,,Oscar Chamorro,863,0.0,0
The Exiled Fleet,2021-08-17,english,221.0,J. S. Dewes,,"Andrew Eiden, Nicol Zanzarella",1128,5.0,1
The Trouble with Time Travel,2021-10-26,english,1172.0,Roy Huff,,Christopher Lane,381,0.0,0
The Burning Road,2021-09-30,english,835.0,Harry Sidebottom,,Rupert Bush,550,0.0,0
Wagga,2021-10-12,english,1340.0,Alex Kozlowski,,Grant Cartwright,940,4.0,1
"Dual Sword God, Books 1-2",2021-08-24,english,1340.0,Shadowsfinger,,Kevin T. Collins,1237,0.0,0
The Dungeon Leader,2021-10-19,english,1172.0,Konrad Ryan,,Austin Rising,1055,0.0,0
Initialization,2021-10-12,english,1172.0,From Hell,OppaTranslations-translator,Travis Baldree,642,5.0,1
The Starless Crown,2022-01-04,english,301.0,James Rollins,,"James Rollins, Nicola Barber",1325,3.0,1
Chrysalis (A Fantasy LitRPG),2020-10-09,english,836.0,"R. P. Jones, Portal Books",,Travis Baldree,1051,0.0,0
Day of Ascension,2022-01-29,english,759.0,Adrian Tchaikovsky,,Harry Myers,338,0.0,0
Quicksilver,2022-01-25,english,1008.0,Dean Koontz,,Todd Haberkorn,608,0.0,0
Remains,2022-02-22,english,1675.0,"Jason Anspach, Nick Cole",,R. C. Bray,712,0.0,0
Winter Solstice,2021-07-27,english,2010.0,pirateaba,,Andrea Parsneau,2054,5.0,2
Shatterpoint: Star Wars Legends,2021-06-15,english,1256.0,Matthew Stover,,Sullivan Jones,852,0.0,0
Scott V.P.I.,2022-01-07,german,434.0,Gard Sprilin,,Matthias Lühn,292,0.0,0
Will Save the Galaxy for Food,2017-02-14,english,836.0,Yahtzee Croshaw,,Yahtzee Croshaw,620,4.0,8
Isekai Assassin: Volume 1,2021-07-20,english,1172.0,Grayson Sinclair,,Daniel Wisniewski,731,0.0,0
Prodigal Son,2021-02-04,english,888.0,Gregg Hurwitz,,Scott Brick,822,4.0,1
The Maintenance Race,2021-09-30,english,233.0,Stewart Brand,,Richard Seyd,52,0.0,0
Age of Legend [Dramatized Adaptation],2022-01-03,english,961.0,Michael J. Sullivan,,"Amanda Forstrom, Bradley Smith, Chris Stinson,",671,0.0,0
Wasp,2021-12-14,english,586.0,Fiona Quinn,,Sean Crisden,425,0.0,0
Hiranya Garbha [Golden Womb],2021-12-10,english,118.0,Naveen B. S,,Naveen B. S,623,0.0,0
Garm,2021-06-28,english,836.0,Steven Campbell,,Gabriellede Cuir,806,0.0,0
Level Up!: Checkpoint,2021-06-15,english,836.0,Simon Archer,,Gary Furlong,614,0.0,0
Shadeslinger,2021-01-27,english,1003.0,"Kyle Kirrin, Portal Books",,Travis Baldree,1292,0.0,0
The Shadows Over Marquette,2022-01-25,english,1172.0,Alex Gilbert,,Hollie Jackson,601,5.0,1
Creation Mage 4,2021-07-13,english,1172.0,Dante King,,"Marissa Parness, Alex Perone",511,0.0,0
The Last Physicist,2021-09-23,english,836.0,Dominic Stal,,"Justin Thomas James, Jeff Hays, Annie Ellicott",1140,1.0,1
Law of the Jungle,2021-12-31,english,586.0,Michael Anderle,,Megan Tusing,430,0.0,0
Nightside the Long Sun,2022-03-08,english,836.0,Gene Wolfe,,Jason Culp,642,0.0,0
Champion of Deania,2021-12-28,english,703.0,Marvin Knight,,Sean Hardisty,852,0.0,0
The Face of the Enemy,2022-01-11,english,1172.0,Christopher G. Nuttall,,Saskia Maarleveld,710,0.0,0
Nova Terra: Stormbringer,2021-12-14,english,1340.0,Seth Ring,,Eric Jason Martin,1025,0.0,0
Eden's Gate: The Scourge,2021-11-05,english,1003.0,Edward Brody,,Pavi Proczko,1510,0.0,0
Hard Luck Hank: Frankly,2021-10-18,english,836.0,Steven Campbell,,Liam Owen,761,0.0,0
Midnight Days,2021-11-16,english,836.0,"Anna Zaires, Charmaine Pauls",,"C J Bloom, Sebastian York",718,4.0,1
"Treoir Dragon Chronicles of the Belador™ World: Volume III, Books 7-9",2021-12-14,english,1804.0,Dianna Love,,Stephen R. Thorne,1647,0.0,0
Lucifer's Bride,2021-04-21,english,836.0,"Roxie Ray, Skye Wilson",,Phoenix Mc Kay,606,0.0,0
Lost Love Found,2022-02-01,english,820.0,Bertrice Small,,Justine Eyre,1175,0.0,0
Mountain Man: 2nd Prequel,2022-02-08,english,1507.0,Keith C. Blackmore,,R. C. Bray,732,0.0,0
The Maleficent Seven,2021-08-10,english,836.0,Cameron Johnston,,George Weightman,868,0.0,0
The Perfect Run 3,2022-03-15,english,1507.0,"Maxime J. Durand, Void Herald",,Eric Michael Summerer,1094,0.0,0
Engines of Empire,2022-01-19,english,500.0,R. S. Ford,,"Alison Campbell, Ciaran Saward, Phoebe Mc Intosh,",1323,0.0,0
The Curious Incident of the Dog in the Night-Time (Unabridged),2005-09-26,english,820.0,Mark Haddon,,Ben Tibber,359,4.0,51
Tempo do Desprezo,2022-01-19,portuguese,166.0,Andrzej Sapkowski,,Mauro Ramos,945,0.0,0
Dinosaur Warlord Trilogy Omnibus,2021-05-14,english,1003.0,Marcus Sloss,,"Daniel Wisniewski, Rebecca Woods",2355,0.0,0
Death Drives an Audi,2021-10-15,english,987.0,Kristian Bang Foss,,Lars Knudsen,313,0.0,0
Age of Ancients,2021-09-28,english,1172.0,Aaron Oster,,Kevin R. Free,740,0.0,0
El Alquimista,2021-09-14,spanish,691.0,Paulo Coelho,,Michelle Jenner,266,0.0,0
Wolf's Pack,2021-09-21,english,1340.0,Auryn Hadley,,"Lola James, Aiden Snow, Aaron Shedlock,",1004,0.0,0
Cause for War,2021-10-05,english,703.0,Michael Atamanov,AndrewSchmitt-translator,Neil Hellegers,654,5.0,1
L'ultima Odissea,2021-08-17,italian,459.0,James Rollins,,Ruggero Andreozzi,820,0.0,0
The Timegod,2021-08-10,english,703.0,L. E. Modesitt Jr.,,Gildart Jackson,822,0.0,0
Fathers,2021-08-24,english,1172.0,Matt Rogers,,Kevin Kenerly,542,0.0,0
"The Tale of Princess Fatima, Warrior Woman",2021-08-03,english,879.0,Melanie Magidow,,Dalia Ramahi,383,5.0,1
Taken by the Vampire King,2021-09-24,english,668.0,"Roxie Ray, Lindsey Devin",,"Kai Kennicott, Wen Ross",458,0.0,0
The Time Machine,2021-06-01,english,702.0,H. G. Wells,,Tom Logan,216,0.0,0
Warlock,2019-01-31,english,1138.0,Wilbur Smith,,Mark Meadows,1565,5.0,3
Der Astronaut,2021-05-24,german,468.0,Andy Weir,,Richard Barenberg,930,0.0,0
Around the World in 80 Days,2021-06-02,english,985.0,Jules Verne,,Adriel Brandt,404,0.0,0
Treasure Girl (Hindi Edition),2021-02-25,hindi,668.0,Abhishek Singh,,Chaitali Gupta,497,4.0,6
Cyborgs on Mars: The First Collection,2022-01-04,english,1340.0,Honey Phillips,,"Eve Leonard, Rock Engle, Brooke Hayden,",802,0.0,0
Stars and Bones,2022-03-01,english,835.0,Gareth L. Powell,,Rebecca Norfolk,508,0.0,0
Battlefield Reclaimer,2022-01-12,english,836.0,David North,,Travis Baldree,1095,5.0,1
Mage's Path 1,2022-02-15,english,1172.0,D B King,,Alex Knox,542,0.0,0
Geedad Ka Shikar [Jackal Hunt],2022-02-21,hindi,0.0,Mirza Azeem Baig Chughtai,,Sameer Goswami,13,5.0,1
The Chosen Ones,2022-02-22,english,1172.0,From Hell,Oppatranslations-translator,Travis Baldree,709,5.0,1
Bad Lands,2022-02-22,english,1172.0,Stacey Marie Brown,,Eva Kaminsky,725,0.0,0
Bulletproof,2021-12-02,english,645.0,Mark Dawson,,David Thorpe,494,0.0,0
The Reincarnated Core Volume 2,2021-09-28,english,1340.0,Atlas Kane,,"Daniel Wisniewski, Rebecca Woods",720,0.0,0
Reborn as a Baron Lord,2021-05-04,english,1340.0,Han Yang,,"Marissa Parness, Alex Perone",652,1.0,1
Daemonorg Colossus,2022-02-16,english,469.0,Ben Ormstad,,Doug Tisdale Jr.,912,0.0,0
